title,puNumber,show_start_date,type,film_studio,production_country,director,producer,age_restriction,refundable_support,nonrefundable_support,budget,financing_source,ratings,genres
Дом для русалок,121020516,2016-06-30T12:00:00.000Z,Художественный,"Корела Фильм, Всемирные Русские Студии",Эстония - Россия,Ёлкин Туйчиев,"Артур Веэбер, Наталья Лазарева, Лутфулла Назиров",«16+» - для детей старше 16 лет,,,,,5.1,драма
Дом для русалок,121016615,2015-08-07T12:00:00.000Z,Художественный,"Корела Фильм, Всемирные Русские Студии",Эстония - Россия,Ёлкин Туйчиев,"Артур Веэбер, Наталья Лазарева, Лутфулла Назиров",«16+» - для детей старше 16 лет,,,,,5.1,драма
От звонка до звонка (2013),121016815,2015-08-07T12:00:00.000Z,Художественный,"Филм Фо, Креатив Скотланд, Квикфайр Филмз, Липсинк Продакшнз, Нортерн Ирланд Скрин, Сигма Филмз ",Великобритания - Ирландия,Дэвид Маккензи,"Джеймс Атертон, Джиллиан Берри, Эндрю Босвелл ",«18+» - запрещено для детей,,,,,6.7,"драма,криминал"
128 ударов сердца в минуту,121016715,2015-08-07T12:00:00.000Z,Художественный,"Студио Канал, Уоркинг Тайтл Филмз",Великобритания - Франция - США,Макс Джозеф,"Тим Беван, Нэйтан Келли, Эрик Феллнер",«18+» - запрещено для детей,,,,,6.7,"драма,мелодрама,музыка"
Сборник семейных короткометражных фильмов,126002715,2015-08-07T12:00:00.000Z,Прочие,"Пико Пикчерз, Лайтхаус, Колумбийский университет искусств, Эм Пи Си, Национальный фильм, Ти Ви школа Испании, Салад Моррисет, Стритлайт Фильм, Контэджис ",Великобритания - Исландия - Испания - Швейцария - США,"М.Ксейбати, И.Лопез, Э.Лоурич, К.М.Сабер, К.О.Тул,  Р.Серри, Р.Тьюннард, М.Энгламайр","М.Берлинер, Ш.Лайон, К.Ли, Н.Мосс, Э.Татти, У.Хаусдоттир, К.Херберт, М.М.Хилл",«18+» - запрещено для детей,,,,,,
"Джузеппе Верди. Дон Карлос /По драме Фридриха Шиллера ""Дон Карлос, инфант Испанский/. Постановка Зальцбургского фестиваля",126002215,2015-07-07T12:00:00.000Z,Прочие,Райзинг Алтернатив,Германия,Петер Штайн,Магдалена Хербст,«12+» - для детей старше 12 лет,,,,,,
Эликсир.,111005115,2015-04-22T12:00:00.000Z,Художественный,"ОАО ""Московский информационно-технический центр""",Россия,Д.Зинченко,А.Сильвестров,«16+» - для детей старше 16 лет,,,,,6.8,"мультфильм,ужасы,фантастика"
Пионеры-герои.,111008315,2015-04-27T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ""СТВ""",Россия,Н.Кудряшова,С.Сельянов,«16+» - для детей старше 16 лет,0.0,15000000.0,27000000.0,Министерство культуры,5.9,драма
Самые правдивые истории,114000615,2015-05-08T12:00:00.000Z,Анимационный,"ООО ""Студия Продюсерского Кино""",Россия,"Д.Лазарев, С.Антонов","В.Зверев, М.Линьков",«0+» - для любой зрительской аудитории,,,,,,
Иван Грозный - 1 серия (восстановленная версия),111009015,2015-05-14T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм"", ФГУП ""Киноконцерн ""Мосфильм""",СССР,С.Эйзенштейн,,«12+» - для детей старше 12 лет,,,,,,
Иван Грозный - 2 серия (восстановленная версия),111009115,2015-05-14T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм"", ФГУП ""Киноконцерн ""Мосфильм""",СССР,С.Эйзенштейн,,«12+» - для детей старше 12 лет,,,,,,
Мэхэббэт - ул йорэк эше (Любовь - это дело сердца),111016715,2015-09-17T12:00:00.000Z,Художественный,"ООО ""ПРОФТЕХСТРОЙ""",Россия,Г.Нуриманов,Г.Нуриманов,«16+» - для детей старше 16 лет,,,,,,
Стажёр,121019015,2015-09-17T12:00:00.000Z,Художественный,"Уорнер Бразерс, Уэверли Филмз",США,Нэнси Мейерс,"Нэнси Мейерс, Сюзанн Фарвелл",«16+» - для детей старше 16 лет,,,,,,
МУЛЬТ в кино. Выпуск № 14,114002515,2015-09-16T12:00:00.000Z,Анимационный,"ООО ""Студия анимационного кино ""Мельница"", ООО ""Студия Тунбокс"", ООО ""Паровоз"", ЗАО ""Аэроплан"", ООО ""Продюсерский центр ""Рики"" по заказу ЗАО ""Детский канал""",Россия-Кипр,"В.Пономарёв, А.Миронов, Е.Салабай, А.Хачатурян, Е.Чернова, А.Бахурин","Т.Цыварева, А.Златопольский, В.Воля, Е.Головин, А.Сметанкин, С.Сельянов, А.Боярский, М.Меннис, Г.Васильев, И.Попов",«0+» - для любой зрительской аудитории,,,,,,
Достали!,111004015,2015-04-09T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ""Ракурс""",Россия,А.Муратов,В.Сидоренко,«16+» - для детей старше 16 лет,,,,,,
Игра на выживание__,121009515,2015-04-27T12:00:00.000Z,Художественный,Фэзе Филмз,США,Жан-Батист Леонетти ,"Майкл Дуглас, Роберт Митас, Филлип Элвей",«18+» - запрещено для детей,,,,,7.6,"триллер,приключения"
Каждое воскресенье. Следующая глава,126001415,2015-05-20T12:00:00.000Z,Прочие,Рэд Булл Медиа Хаус,США,Дана Браун,"Бэн Брайан, Николас Шранк",«12+» - для детей старше 12 лет,,,,,,
Виктория_,121010815,2015-05-20T12:00:00.000Z,Художественный,"МонкиБой, Дойчфилм, Радикал Медиа, Вестдойчер Рандфанк, Арте",Германия,Себастьян Шиппер,"Катрин Баикозис, Ян Дресслер, Давид Кайч,  Анатол Ничке, Себастьян Шиппер",«18+» - запрещено для детей,,,,,7.9,"драма,биография,история"
Вне времени (2014),121010915,2015-05-25T12:00:00.000Z,Художественный,"Корсан, Блисс Медиа, Лаймлайт Интернэшнл Медиа Интертейнмент, НилМудра Интертейнмент",Австралия - Великобритания - Бельгия - Индия,Роланд Жоффе,"Дэйл Дж. Брэдли, Л. Грант Брэдли, Пол Брюлс",«16+» - для детей старше 16 лет,,,,,5.1,"фэнтези,мелодрама,приключения"
Прерванный полет,131000115,2015-05-21T12:00:00.000Z,Художественный,"Шарм Холдинг, Общественное Телевидение Армении",Армения,Елена Аршакян,"Карен Казарян, Армен Григорян, Ваган Азатян",«16+» - для детей старше 16 лет,,,,,7.3,"драма,мелодрама"
"Машкины Cтрашилки. Серия ""Мрачная притча о суеверной девочке""",114001015,2015-06-04T12:00:00.000Z,Анимационный,"ООО Студия ""АНИМАККОРД"" - ANIMACCORD LTD.",Россия - Республика Кипр,Д.Червяцов,"Д.Ловейко, О.Кузовков",«0+» - для любой зрительской аудитории,,,,,,
Синдром Петрушки,111010015,2015-06-04T12:00:00.000Z,Художественный,"ООО ""Студия ТРЕТИЙ РИМ"", ООО ""Петрушка Продакшн"", Departures Films, PCT",Россия,Е.Хазанова,"Е.Миронов, И.Гаврилов, А.Новин, Д.Аронин, А.Темникова, Е.Бренькова, А.Качко",«16+» - для детей старше 16 лет,0.0,30000000.0,81612411.0,Министерство культуры,6.3,драма
Режиссёр мозга,111013115,2015-08-12T12:00:00.000Z,Художественный,Гарифуллин Рамиль Рамзиевич,Россия,Р.Гарифуллин,Р.Гарифуллин,«16+» - для детей старше 16 лет,,,,,8.7,"боевик,триллер,драма"
Я не оставлю тебя!,111012915,2015-08-12T12:00:00.000Z,Художественный,ИП Кузьмина Вера Викторовна,Россия,Д.Кузьмин,Д.Кузьмин,«12+» - для детей старше 12 лет,,,,,,
Год Белого Слона,111003915,2015-04-08T12:00:00.000Z,Художественный,"ООО ""Творческое объединение ЮГ""",Россия,Ю.Грымов,П.Поляков,«6+» - для детей старше 6 лет,,,,,79%,семейный
Опасное погружение,121009815,2015-04-27T12:00:00.000Z,Художественный,Бигскоуп Филмз,Великобритания,Рон Скальпелло,"Лори Кук, Алан МакКена, Джейсон Ньюмарк",«16+» - для детей старше 16 лет,,,,,5.9,"триллер,драма"
Третий лишний 2,121010115,2015-04-29T12:00:00.000Z,Художественный,"Юниверсал Пикчерз, Медиа Райтс Кэпитал, Фаззи Дур Продакшнз, Блюграсс Филмз",США,Сет МакФарлейн,"Джон Джейкобс, Джейсон Кларк, Сет МакФарлейн",«18+» - запрещено для детей,,,,,5.9,комедия
Дабл трабл,111009215,2015-05-18T12:00:00.000Z,Художественный," ООО ""ТаББаК"", ООО ""Весёлая Компания""",Россия,Э.Оганесян,"Т.Бекмамбетов, М.Затуловская",«12+» - для детей старше 12 лет,44000000.0,0.0,64030080.0,Фонд кино,4.3,"комедия,мелодрама"
Тряпичный союз,111010215,2015-06-08T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ""КОКТЕБЕЛЬ""",Россия,М.Местецкий,"Р.Борисевич, А.Кушаев",«18+» - запрещено для детей,0.0,59000000.0,0.0,Фонд кино,6.3,"комедия,драма"
ПУСТЬ ТАК БУДЕТ,111009815,2015-06-01T12:00:00.000Z,Художественный,"ООО ПРОДЮСЕРСКАЯ КОМПАНИЯ ""ДЕРЖАВА""",Россия,О.Смольников,"К.Лавров, Ю.Потапова, В.Бутер, С.Прудников, С.Маликов",«12+» - для детей старше 12 лет,,,,,,
Без границ,111010315,2015-06-08T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ""Небо""",Россия,"Р.Гигинеишвили, К.Оганисян, Р.Прыгунов","Э.Илоян, Э.Родоная, Р.Гигинеишвили, Д.Жалинский",«12+» - для детей старше 12 лет,10000000.0,40000000.0,80273277.0,Фонд кино,6.8,"комедия,мелодрама"
Шопо-коп,221017415,2015-04-27T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Хэппи Мэдисон Продакшнз, Рилетивити Медиа",США,Стив Карр,"Даг Белград, Барри Бернарди, Тодд Гарнер, Кевин Джеймс, Джек Джиаррапуто, Адам Сэндлер, Мэттью Толмач",«12+» - для детей старше 12 лет,,,,,5.7,"боевик,комедия,криминал"
Стрингер (2014),121013015,2015-06-25T12:00:00.000Z,Художественный,"Болд Филмз, Сиерра/Аффинити",США,Дэн Гилрой,"Тони Гилрой, Джейк Джилленхол, Дженнифер Фокс",«18+» - запрещено для детей,,,,,7.4,"триллер,драма,криминал"
"Голубь сидел на ветке, размышляя о бытии",121013215,2015-06-25T12:00:00.000Z,Художественный,"Рой Андерссон Филмпродукцион, 4 1/2 Филм, Арт Франс Синема, Центр Националь дю Синема Лимаж Аниме, Эссенциаль Филмпродуцион,Фонд Еуроимаж дю Консьель де Лероп, Нордиск Филм, Сосьете Паризьен де Продюксьон, Свенска Филминститут",Швеция - Германия - Франция - Норвегия,Рой Андерссон,"Йоханн Каррлсон, Линн Киркеннаер, Пернилла Сандстрём",«18+» - запрещено для детей,,,,,6.5,"фэнтези,драма,комедия"
Монстры 2: Темный континент,121019215,2015-09-21T12:00:00.000Z,Художественный,"Вертиго Филмз, Бетвин зе Эйс, Интернэшнл Трейдерс",Великобритания,Том Грин,"Рори Аиткен, Аллан Нибло, Руперт Престон",«18+» - запрещено для детей,,,,,4.6,"ужасы,фантастика,боевик"
Монстры 2: Темный континент,221026915,2015-07-27T12:00:00.000Z,Художественный,"Вертиго Филмз, Бетвин зе Эйс, Интернэшнл Трейдерс",Великобритания,Том Грин,"Рори Аиткен, Аллан Нибло, Руперт Престон",«18+» - запрещено для детей,,,,,4.6,"ужасы,фантастика,боевик"
Сюрприз (2015),121019115,2015-09-17T12:00:00.000Z,Художественный,"Фастнет Филмз, Рива Филм, Вара, Прайм Тайм, Эн 279 Интертейнмент, Эф А Тэ Тэ Продуцион, Изабелла Филмз ",Нидерланды - Бельгия - Германия - Ирландия,Майк ван Дим,"Эльс Вандерворст, Ганс де Веерс, Майк ван Дим",«16+» - для детей старше 16 лет,,,,,6.6,"мелодрама,комедия"
Эшби,121019315,2015-09-21T12:00:00.000Z,Художественный,"Хэд Гир Филмз, Лангли Парк Продакшнз, Метрол Технолоджи",США,Тони МакНамара,"Джош Кесселман, Фил Хант",«18+» - запрещено для детей,,,,,6.6,"драма,мелодрама,комедия"
34 - й скорый,111005215,2015-04-23T12:00:00.000Z,Художественный,"Киностудия ""Мосфильм""",СССР,А.Малюков,,«12+» - для детей старше 12 лет,,,,,6.9,"боевик,драма"
МУЛЬТ в кино. Выпуск № 12,114002115,2015-08-20T12:00:00.000Z,Анимационный,"ООО ""Студия анимационного кино ""Мельница"", ООО ""Студия Тунбокс"", ООО ""Паровоз"", ЗАО ""Маша и Медведь""",Россия-Кипр,"В.Пономарёв, А.Миронов, Е.Салабай, Н.Мальгина","Т.Цыварева, А.Златопольский, В.Воля, Е.Головин, А.Сметанкин, С.Сельянов, А.Боярский, П.Мунтян, О.Кузовков, Д.Ловейко",«0+» - для любой зрительской аудитории,,,,,,
Красная армия,121017615,2015-08-25T12:00:00.000Z,Документальный,Габриэль Польски Продакшнс,США-Россия,Гейб Польски,"Гейб Польски, Шон Кэри, Вернер Херцог",«16+» - для детей старше 16 лет,,,,,7.1,"документальный,биография,история"
Рики и Флэш,121017915,2015-09-07T12:00:00.000Z,Художественный,"Клиника Эстетико, Лстар Кэпитал, ТриСтар Пикчерз",США,Джонатан Демме,"Мейсон Новик, Марк Платт",«18+» - запрещено для детей,,,,,6.2,"драма,комедия,музыка"
Олджа (Oldjha),111017515,2015-09-30T12:00:00.000Z,Художественный,Берденников Алексей Андреевич,Россия,А.Берденников,А.Берденников,«16+» - для детей старше 16 лет,,,,,,
Он - Дракон,111017915,2015-10-14T12:00:00.000Z,Художественный,"ООО ""ТаББаК""",Россия,И.Джендубаев,Т.Бекмамбетов,«6+» - для детей старше 6 лет,0.0,250000000.0,360000000.0,Фонд кино,6.8,фэнтези
Он - Дракон 3D,111018015,2015-10-14T12:00:00.000Z,Художественный,"ООО ""ТаББаК""",Россия,И.Джендубаев,Т.Бекмамбетов,«6+» - для детей старше 6 лет,,,,,6.8,фэнтези
Самый Лучший День,111017815,2015-10-14T12:00:00.000Z,Художественный,"ООО ""ТаББаК""",Россия,А.Першин (псевдоним Ж.Крыжовников),"Т.Бекмамбетов, А.Першин (псевдоним Ж.Крыжовников), А.Казаков, С.Корнихин",«16+» - для детей старше 16 лет,29000000.0,34000000.0,130619336.0,Фонд кино,4.7,"комедия,музыка"
Джентльмен-грабитель,121008315,2015-04-15T12:00:00.000Z,Художественный,"Ди Бонавентура Пикчерз, Киллер Филмз, Медиа Хаус Кэпитал, Мириад Пикчерз, Аутпост Студиос",США,Тристан Паттерсон,"Кирк Д'Амико, Ханс Риттер",«18+» - запрещено для детей,,,,,5.7,"боевик,триллер,драма"
"Не видать нам Париж, как своих ушей",121008415,2015-04-15T12:00:00.000Z,Художественный,"Бифрост Пикчерз, Бридж Файненс Компани, У2Би Кэпитал, Эйч3 Филмз, Марк Плэтт Продакшнз, ПалмСтар Медиа",США,"Жослин Таун, Саймон Хелберг","Роберт Огден Барнум, Жослин Таун",«18+» - запрещено для детей,,,,,4.8,"мелодрама,комедия"
Похищение Фредди Хайнекена /По книге Петера Р. де Фриза/,121008515,2015-04-15T12:00:00.000Z,Художественный,"Информант Юроп, Юропен Филм Компэни, Юмедиа",Нидерланды - Великобритания - Бельгия,Дэниел Альфредсон,"Джуди Каиро, Говард Мельцер, Майкл А.Симпсон",«18+» - запрещено для детей,,,,,6.2,"триллер,криминал"
Из темноты,121007915,2015-04-13T12:00:00.000Z,Художественный,"Апачез Интертейнмент, Кактус Фиове Продюсьонес, Динамо, Фаст Продюсьонес, Имаджинатьон Абу Даби, Партисипент Медиа, Икс И Зед Филмз",США - Колумбия - Испания,Йуис Килес,"Кристиан Конти, Энрике Лопес",«18+» - запрещено для детей,,,,,5.2,"ужасы,триллер"
Второй шанс_,121008615,2015-04-15T12:00:00.000Z,Художественный,"Биг Инди Пикчерз, Шиванз Пикчерз",США,Дэн Фогельман,"Деклан Болдуин, Нимит В.Манкад, Джесси Нельсон",«18+» - запрещено для детей,,,,,7.1,"триллер,драма"
Как поймать монстра,121007415,2015-04-07T12:00:00.000Z,Художественный,"Болд Филмз, Марк Платт Продакшнз, Фантазма",США,Райан Гослинг,"Райан Гослинг, Дэвид Ланкастер, Мишель Литвак",«18+» - запрещено для детей,,,,,5.9,"фэнтези,триллер,драма"
С 5 до 7. Время любовников,121007615,2015-04-09T12:00:00.000Z,Художественный,"Демарест Филмз, Макинберд Пикчерз",США,Виктор Левин,"Уильям Д.Джонсон, Бонни Кертис, Сэм Энглебардт",«18+» - запрещено для детей,,,,,6.8,"драма,мелодрама,комедия"
Рыба моя,111007915,2015-04-21T12:00:00.000Z,Художественный,Лосев С.А.,Россия,Т.Зубова,С.Лосев,«12+» - для детей старше 12 лет,,,,,,
Наступит ночь,126001115,2015-04-23T12:00:00.000Z,Прочие,"Энджел Ти Ви, Финал Кут фор Реал, РэтПэк Интертейнмент, Спринг Филмз, Бритиш Филм Институт",Великобритания - Германия,Андре Сингер,"Филиппа Коварски, Ричард Мэлман, Джеймс Пэкер, Брэтт Рэтнер, Синье Бирдж Серенсен, Стивен Фрирз, Сэлли Энджел",«18+» - запрещено для детей,,,,,7.8,"документальный,военный,история"
Потерянный рай (2014),121017315,2015-08-20T12:00:00.000Z,Художественный,"Чаптер 2, Джагуар Филмз, Нексус Фэктори, Патэ, Роксбури Пикчерз, Умедиа, уФилм",Франция-Испания-Бельгия-Панама,Андреа Ди Стефано,"Бенисио Дель Торо, М.А.Фаура",«18+» - запрещено для детей,,,,,6.7,"криминал,триллер,драма"
"Алиса знает, что делать! Зеленая месть",114002415,2015-09-07T12:00:00.000Z,Анимационный," ООО ""ТаББаК"", ООО ""Анимационная студия ""Москва""",Россия,И.Ковалев,"Е.Маленкина, Т.Бекмамбетов",«6+» - для детей старше 6 лет,,,,,3.8,"мультфильм,приключения,фантастика"
Хорошее убийство,121018315,2015-09-07T12:00:00.000Z,Художественный,"Вольтаж Пикчерз, Дан Филмз, Собини Филмз",США,Эндрю Никкол,"Николя Картье, Зев Формен, Марк Эмин",«18+» - запрещено для детей,,,,,8.1,"триллер,детектив,драма"
Кутис,121018415,2015-09-07T12:00:00.000Z,Художественный,"Спектрвижн Индустри, Гласиер Филмз, Кутис",США,"Кэри Мёрнион, Джонатан Милотт","Элайджа Вуд, Тоув Кристенсен, Георгий Малков, Дэниэл Ноа, Джош См Уоллер, Стивен Шнайдер ",«18+» - запрещено для детей,,,,,4.6,"ужасы,комедия,фантастика"
Декамерон (2015),121018515,2015-09-07T12:00:00.000Z,Художественный,"Стимэл Интертейнмент, Чинемаундичи, Барбери Филмз, Раи Чинема, Министеро пер и Бениэ ле Аттивита Культурали, Амер, Асетивисио Карадини Эмилио, Индефилмз 2, Фонд Еуроимаж дю Консеиль де лЭроп, Тоскана Фильм, Лазио, СинеФранс Италиа ",Италия - Франция,"Витторио Тавиани, Паоло Тавиани","Луиджи Музини, Донателла Палермо",«16+» - для детей старше 16 лет,,,,,5.9,"драма,комедия,история"
Шпионский мост,121020115,2015-10-02T12:00:00.000Z,Художественный,"Эмблин Интертейнмент, ДримУоркс, Фокс 2000 Пикчерз, Марк Платт Продакшнз, Партисипант Медиа, Релианс Интертейнмент, Студио Бабелсберг",США,Стивен Спилберг,"Кристи Макоско Кригер, Марк Э.Платт, Стивен Спилберг",«16+» - для детей старше 16 лет,,,,,7.5,"триллер,драма,история"
Номер 44,221022715,2015-06-19T12:00:00.000Z,Художественный,Саммит Интертейнмент,США-Великобритания-Чехия-Румыния,Дэниэль Эспиноса,"Майкл Шефер, Ридли Скотт, Грег Шапиро",«18+» - запрещено для детей,,,,,5.6,"триллер,детектив,криминал"
Про Петра и Павла,111004315,2015-04-14T12:00:00.000Z,Художественный,"ООО ""Студия ГРИНСИТИ""",Россия,Ю.Попович,"А.Сафронов, О.Степанцова, В.Щербин",«6+» - для детей старше 6 лет,0.0,37000000.0,52860000.0,Министерство культуры,6.1,драма
Пятый номер,121009115,2015-04-27T12:00:00.000Z,Художественный,"Мороча Филмз, Мутанте Сине, Пандора Филмпродуцион, Пти Фильм, Топкапи Фильм",Аргентина - Уругвай - Россия - Германия - Франция - Нидерланды,Адриан Биньес,"Агустина Кьярино, Жан Де Форетс, Кристоф Фродель, Фернандо Эпштейн",«16+» - для детей старше 16 лет,,,,,5.6,"драма,мелодрама,комедия"
Форс-мажор.,121009215,2015-04-27T12:00:00.000Z,Художественный,"Мотлис, Платформ Продакшн, Рон-Альпс Синема, Сосьете Паризьен де Продюксьон ",Швеция - Франция - Норвегия - Дания,Рубен Эстлунд,"Филипп Бобер, Эрик Хеммендорф, Мари Челльсон",«18+» - запрещено для детей,,,,,8.6,"драма,комедия"
Разлом Сан-Андреас,121009715,2015-04-27T12:00:00.000Z,Художественный,"Уорнер Бразерс, Виллидж Роадшоу Пикчерз, Нью Лайн Синема, Флинн Пикчер Компани",США,Брэд Пейтон,"Трипп Винсон, Бо Флинн",«12+» - для детей старше 12 лет,,,,,6.2,"боевик,триллер,приключения"
Блеф .,111008115,2015-04-27T12:00:00.000Z,Художественный,Шелехов Александр Александрович,Россия,А.Шелехов (псевдоним Александр Шелл),А.Шелехов (псевдоним Александр Шелл),«16+» - для детей старше 16 лет,,,,,8.2,"комедия,криминал"
Чистое искусство.,111008715,2015-05-05T12:00:00.000Z,Художественный,"ООО ""КОМПАНИЯ ""РЕАЛ-ДАКОТА""",Россия,Р.Давлетьяров,Р.Давлетьяров,«16+» - для детей старше 16 лет,15000000.0,60000000.0,111736163.0,Фонд кино,5.9,"триллер,детектив"
Владыка времени,111009315,2015-05-21T12:00:00.000Z,Художественный,"ООО ""Медиа группа Выход""",Россия,А.Баршак,"А.Калинкин, В.Пономаренко",«12+» - для детей старше 12 лет,,,,,4.9,"фэнтези,приключения"
Страшные сказки,121017715,2015-09-01T12:00:00.000Z,Художественный,"Архимед, Ле Пакт, Раи Чинема, ХэнВэй Филмз, Нью Спарта Филмз",Италия-Франция-Великобритания,Маттео Гарроне,"Маттео Гарроне, Джереми Томас, Анн Лабади, Жан Лабади",«16+» - для детей старше 16 лет,,,,,7.4,"ужасы,фэнтези,драма"
Блэйд. Троица,221029615,2015-07-29T12:00:00.000Z,Художественный,"Нью Лайн Синема, Уорнер Бразерс, Шаун Даниэл Продакшнз, Марвел Энтерпрайзез, Имеджинари Форсез, Амен Ра Филмз",США,Дэвид С.Гойер,"Уэсли Снайпс, Питер Франкфурт",«18+» - запрещено для детей,,,,,6.0,"ужасы,фантастика,фэнтези"
Воспоминания о будущем.,121010515,2015-05-05T12:00:00.000Z,Художественный,"Би-Би-Си, ХейДэй Филмз",Великобритания,Джеймс Кент,"Селия Дювал, Дэвид Хейман, Рози Элисон",«16+» - для детей старше 16 лет,,,,,7.6,"аниме,мультфильм,фантастика"
Шпион_,121010015,2015-04-29T12:00:00.000Z,Художественный,"Фейго Интертейнмент, ХХ век Фокс",США,Пол Фиг,"Пол Фиг, Джесси Хендерсон, Питер Чернин",«16+» - для детей старше 16 лет,,,,,7.1,"боевик,комедия,криминал"
Хранитель Луны,124002215,2015-05-05T12:00:00.000Z,Анимационный,"Оникс Фильм, Микро Имаж, Кинологи, О Эн Анимасьон Студио, Оранж Студио",Франция,"Бенуа Филиппон, Алесандр Эбоян","Алексис Вонарб, Дмитрий Рассам, Антон Сумаш",«0+» - для любой зрительской аудитории,,,,,7.3,"мультфильм,фэнтези,комедия"
Курт Вайль. Расцвет и падение города Махагони. Постановка Royal Opera House,126001715,2015-06-03T12:00:00.000Z,Прочие,Артс Альянс Дистрибьюшн,Великобритания,Джон Фулджеймс,,«16+» - для детей старше 16 лет,,,,,,
Фердинанд Герольд. Тщетная предосторожность. Постановка Royal Opera House по мотивам французской постановки в хореографии Жана Доберваля,126001815,2015-06-03T12:00:00.000Z,Прочие,Артс Альянс Дистрибьюшн,Великобритания,хореография Фредерика Аштона,,«6+» - для детей старше 6 лет,,,,,,
Война полов,111016915,2015-09-24T12:00:00.000Z,Художественный,"ООО ""Анимационная студия РИМ""",Россия,К.Кузин,"Р.Атоян, В.Зорин",«16+» - для детей старше 16 лет,0.0,20000000.0,55404963.0,Фонд кино,3.2,комедия
Неуловимые: последний герой,111017415,2015-09-30T12:00:00.000Z,Художественный,"ООО ""Энджой мувиз"", ООО ""Ультра стори""",Россия,А.Аксененко,"Г.Малков, В.Поляков, И.Капитонов, В.Муругов",«16+» - для детей старше 16 лет,25000000.0,0.0,73379554.0,Фонд кино,3.3,"мелодрама,криминал"
Половое воспитание,121020015,2015-10-02T12:00:00.000Z,Художественный,Свит Томато Филмз,США,Исаак Федер,"Моника Кэйси, Стив Федер, Элейн Шнейдерман",«18+» - запрещено для детей,,,,,5.3,"мелодрама,комедия"
Легенда (2015),121019915,2015-10-01T12:00:00.000Z,Художественный,"Энтон Кэпитал Интертейнмент, Крос Крик Пикчерз, Студио Канал, Уоркинг Тайтл Филмз",Великобритания - Франция,Брайан Хелгеленд,"Тим Беван, Квентин Кертис, Крис Кларк",«18+» - запрещено для детей,,,,,7.1,"криминал,триллер,драма"
Прогулка (2015),121020215,2015-10-02T12:00:00.000Z,Художественный,"ИмиджМуверс, Мелс Сите ду Синема, Сони Пикчерз Интертейнмент, ТриСтар Продакшнз ",США,Роберт Земекис,"Роберт Земекис, Джек Рапке, Том Ротман, Стив Старки",«12+» - для детей старше 12 лет,,,,,7.3,"боевик,драма,приключения"
Атака титанов. Фильм второй: Конец света,121019815,2015-10-02T12:00:00.000Z,Художественный,"Коданша, Ликри, Никкатцу  Корпорейшн, Тохо Компани",Япония,Синдзи Хигути,"Юджи Ишида, Генки Кавамура, Ёсихиро Сато",«16+» - для детей старше 16 лет,,,,,4.8,"фантастика,драма,боевик"
Гордость_,121017015,2015-08-13T12:00:00.000Z,Художественный,"Компания ""ПАТЭ ФАНД ЛИМИТЕД""","Великобритания, Франция",Мэттью Уорчас,"Дэвид Ливингстоун, Джеймс Клэйтон, Кристин Ланган",«18+» - запрещено для детей,,,,,8.0,"драма,мелодрама"
Подарок .,121017115,2015-08-13T12:00:00.000Z,Художественный,"Блю-Танг Филмз, Блюмхаус Продакнз","Австралия, США",Джоэл Эдгертон,"Джейсон Блум, Джоэл Эдгертон, Ребекка Йелдхэм",«18+» - запрещено для детей,,,,,6.4,"триллер,драма,детектив"
Приключения французов в Нью-Йорке,121020515,2015-10-13T12:00:00.000Z,Художественный,"Вертиго, Патэ, М6 Филмз, Лоретт Дистрибусьон, Канал +, Сине +",Франция,"Эрве Мимран, Жеральдин Накаш","Патрик Батто, Айса Джабри, Фарид Лауасса",«12+» - для детей старше 12 лет,,,,,4.9,"драма,мелодрама,комедия"
Дом в конце времен,121010715,2015-05-14T12:00:00.000Z,Художественный,Сентро Насиональ Аутономо ди Синематография,Венесуэла,Алехандро Хидальго,Алехандро Хидальго,«16+» - для детей старше 16 лет,,,,,6.4,"ужасы,фэнтези,триллер"
"Программа короткометражного кино ""Повороты""",121011615,2015-05-27T12:00:00.000Z,Художественный,"Омбр/Люмьер, Ресентиль, Супер Олрайт Продакшнз, Спиндл Продакшнз, Метод Студиос, Каури Медиа, Арри Медиа",Великобритания - США - Австралия - Ирландия - Германия - Куба - Канада,"Филипп Амио, Филипп Беллимар, Мартин Брукс, Диего Виванко, Ниниан Доф, Йан Кларк, Морган Кранц, Рас Леморо, Барри Джин Мерфи, Балазс Патаки, Дин Саффрон, Грег Хаккет, Рейчел Хардинг, Стефан Хенель, Стефан Шотт",,«12+» - для детей старше 12 лет,,,,,6.1,"короткометражка,мелодрама"
Сборник российских короткометражных фильмов,111009515,2015-05-21T12:00:00.000Z,Художественный,"ООО ""Культбюро"", ИП Сафина К.Р., ООО ""Лук-фильм"", ИП Плетнев К.В., ООО ""Студия Метраном""",Россия,"К.Сафина, А.Першин, Г.Добрыгин, О.Михеева, К.Плетнев","К.Сафина, И.Золотухин, И.Толстунов, Е.Степанищева, Г.Добрыгин, А.Васильев и др.",«18+» - запрещено для детей,,,,,,
